,gender,age_range,highest_education_level,preferred_content_type,prefer_movies_over_series_reason,prefer_series_over_movies_reason,binge_watching_preference,preferred_film_type,preferred_genres,popularity_influence_on_decision,actor_importance_rating,budget_quality_indicator,movie_dislike_factors,movie_series_likes,favorite_movie_or_series,favorite_series,favorite_series_summary_and_enjoyment,favorite_series_actors,ideal_episode_duration,series_nationality,favorite_series_what_liked_most,series_seasons_count,favorite_movie,favorite_movie_actor,favorite_movie_description,movie_duration,release_date_importance,movie_decade,movie_genre,movie_budget_importance,general_movie_watching_preference,watching_with_others_preference,real_vs_fictional_preference,movie_review_check_preference,additional_comments_on_preferences
196,Male,15-30,Some College ,Movies ,Shorter Time Commitment ,,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Horror , Crime , Romance ",3,4,Yes,stori movi disgust,stori movi,Film ,,,,,,,,fast furiou,vin diesel,"an American action media franchise centered on a series of films revolving around street racing, heists, and spies",Between 90 and 120,Somewhat,other,American,4,Doesn't matter,Both,Both,Yes,No
197,Male,15-30,High School ,Movies ,Shorter Time Commitment ,Character development over time,Binge-Watch ,Home Theaters ,"Action , Adventure , Comedy , Horror , Crime , Fantasy ",3,2,Yes,,,Series ,GOT,,,40 - 60 min ,British ,The plot twists ,8.0,incept,cillian morfiey,,Between 90 and 120,No,other,American,1,A few months after release,alone,fictional ones,No,"No,thanks"
198,Female,15-30,High School ,Movies ,Shorter Time Commitment ,,One Episode at a Time ,Both or All of these,"Action , Adventure , Comedy , Crime , Fantasy , History ",1,1,I don't know,bad qualiti bad actor storybad stori satisfi non sens end non sens scenario non sens scene use film spread certain idea,stori,Film ,,,,,,,,hanger game,tom holland,Perfect representation of current world with a perfect fantasy story and the good amount of action and adventure with perfect yet satisfying end,Between 90 and 120,Somewhat,other,American,1,Doesn't matter,Both,Both,No,No
199,Female,+51,Bachelor's Degree ,Movies ,Shorter Time Commitment ,,Binge-Watch ,Home Theaters ,"Adventure , Comedy ",5,4,Yes,stori movi,stori attract,Film ,,,,,,,,,,,Between 90 and 120,No,other,Arabic,4,A few months after release,Both,real stories,Yes,"No,thanks"
200,Female,15-30,High School ,Both equally,Higher Production Quality ,"Longer, more detailed storytelling",Binge-Watch ,Streaming Services,"Action , Adventure , Comedy , Drama , Fantasy , Romance ",1,2,Yes,,,Film ,,,,,,,,spider man,moham ramadan,It's a great action movie. ,90,Yes,70s,"Arabic, American",4,A few months after release,with others,real stories,Yes,"No,Everything is good"
201,Female,15-30,High School ,Movies ,Shorter Time Commitment ,,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Drama , Crime , Romance ",4,3,Yes,f move long stori bore,enjoy make feel like im live differ world,Film ,,,,,,,,swimmer,noah centineo,"t's a biography to the Olympic swimmer Sarah Martine and her sister yousra, its advantageous movir",Between 90 and 120,Yes,other,American,2,A few months after release,Both,real stories,Yes,"No,thanks"
202,Male,15-30,Some College ,Movies ,Higher Production Quality ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Crime , Romance , History ",3,4,Yes,sometim miss detail,reason see definit stori definit charact,Film ,,,,,,,,interstellar,cillian murphi,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",above,Yes,other,American,1,Doesn't matter,Both,Both,No,It's just the best movie ever
203,Male,15-30,Other,Series ,,More content to enjoy,Binge-Watch ,Streaming Services,"Adventure , Comedy , Horror , Crime , Fantasy ",4,4,Yes,spread stori,attract stori listen,Series ,One piece (Anime),,,Less than 20 min ,other,The plot twists ,1.0,,,,Between 90 and 120,Somewhat,90s,American,4,When they are first released,alone,Both,No,"No,thanks"
204,Female,15-30,High School ,Series ,More Satisfying Storylines ,More content to enjoy,Binge-Watch ,Streaming Services,"Adventure , Crime , Fantasy , Romance ",1,5,Yes,bore,excit easi understand complex,Series ,Friends - suits,the harmony between the characters ,,20 - 40 min ,American ,The story ,10.0,dead poet societi justic,alpacino robin william,They are not just movies they have a message ,Between 90 and 120,Somewhat,80s,American,3,Years after release,alone,fictional ones,Yes,"No,thanks"
205,Female,15-30,High School ,Movies ,More Satisfying Storylines ,,Binge-Watch ,Home Theaters ,"Action , Adventure , Drama , Crime ",5,4,No,end didnt make sens,help escap realiti,Film ,,,,,,,,seen,dont realli favorit actor enjoy watch good perform,"Se7en is a crime movie, Two detectives look for a killer, The killer uses the seven deadly sins, and the ending is a big surprise",120,No,90s,American,1,When they are first released,alone,real stories,Yes,"No,Everything is good"
206,Female,15-30,Bachelor's Degree ,Both equally,Shorter Time Commitment ,"Longer, more detailed storytelling",Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Horror , Crime , Fantasy , Romance , History ",1,3,Yes,noth,stori,Series ,Goblin ,,le dong wook,More than 60 min ,Korean ,The story ,1.0,el hwa sultan,menna shalbi,"Romantic 
",90,Yes,other,Arabic,5,When they are first released,Both,Both,Yes,"No,Everything is good"
207,Female,15-30,High School ,Both equally,Higher Production Quality ,"Longer, more detailed storytelling",One Episode at a Time ,Home Theaters ,"Adventure , Comedy , Drama , Horror , Crime , Romance , History ",4,3,No,bore scene import idea,usual chang perspect world give good vibe entertain,Film ,,,,,,,,central intellig,kevin hart,The film stars Dwayne Johnson and Kevin Hart as two old high school classmates who go on the run after one of them joins the CIA to save the world from a terrorist who intends to sell satellite codes.,120,No,other,American,1,Doesn't matter,alone,Both,Yes,No
